AvgTime,AvgMemory,AvgCaches,HitRate,Score,Moves
0.886332871081561,41409.699408284025,272.2698224852071,0.5319183862204497,14760,845
2.828829383342824,41894.06808510638,270.70212765957444,0.5257655275011364,16444,940
2.3857903017830657,45205.92452830189,283.1091644204852,0.5169098649080932,12716,742
0.5434588972751413,40248.63903541824,270.9389600602864,0.5369230148904682,26480,1327
0.5797069266559632,44320.89198606272,280.650406504065,0.5221205475308175,15016,861
0.6104246682758573,43452.53670886076,281.95443037974684,0.5273020818044515,23660,1185
0.6576634206771851,48321.896,282.29,0.5030185747480364,7468,500
0.5568413022524847,42199.743486973945,268.37675350701403,0.5231352174847165,7548,499
0.6475398825670649,47084.29485396384,290.7134909596662,0.513833885213783,12224,719
0.5688306413302764,41830.329281767954,270.79779005524864,0.5283352412489194,15868,905
